Participant ID,Date ,Survey Start,Survey End,Cycle Cal Start,Cycle Cal End,MATB Train Start,MATB Train End,Cycle Start,Cycle End,Rest 1 Start,Rest 1 End,Base Start,Base End,Trial 1 Start,Trial 1 End,Rest 2 Start,Rest 2 End,Trial 2 Start,Trial 2 End,Recovery Start,Recovery End,Debrief Start,Debrief End,Arrival time ,Start time ,End time,Experimental Time,Total Time,,,,
14,10/29/2024,1:46:45 PM,1:48:38 PM,1:53:49 PM,1:57:00 PM,1:57:54 PM,2:11:57 PM,2:12:54 PM,2:17:54 PM,2:18:39 PM,2:28:44 PM,2:30:29 PM,2:38:49 PM,2:43:05 PM,2:51:05 PM,2:53:58 PM,3:02:07 PM,3:06:56 PM,3:14:56 PM,3:17:45 PM,3:29:26 PM,3:29:30 PM,3:34:35 PM,1:26:00 PM,1:34:00 PM,3:34:35 PM,2:00:35,2:08:35,,,,
15,10/30/2024,1:47:46 PM,1:50:08 PM,1:50:52 PM,1:58:34 PM,1:58:47 PM,2:11:19 PM,2:12:28 PM,2:17:30 PM,2:18:01 PM,2:28:38 PM,2:31:50 PM,2:39:52 PM,2:45:24 PM,2:53:28 PM,2:56:40 PM,3:04:57 PM,3:06:52 PM,3:15:02 PM,3:17:30 PM,3:29:28 PM,3:30:00 PM,3:33:00 PM,1:31:00 PM,1:37:00 PM,3:34:00 PM,1:57:00,2:03:00,,,,
16,10/31/2024,12:53:00 PM,12:55:30 PM,12:56:00 PM,1:02:00 PM,1:03:00 PM,1:12:45 PM,1:14:17 PM,1:19:20 PM,1:19:37 PM,1:29:37 PM,1:31:45 PM,1:39:59 PM,1:45:15 AM,1:53:15 PM,1:55:40 PM,2:03:41 PM,2:05:44 PM,2:13:47 PM,2:16:38 PM,2:30:21 AM,2:31:00 PM,2:35:00 PM,12:35:00 PM,12:43:00 PM,2:35:00 PM,1:52:00,2:00:00,,,,
17,11/5/2024,12:50:20 PM,12:53:23 PM,12:56:40 PM,12:58:30 PM,12:59:50 PM,1:14:08 PM,1:16:05 PM,1:21:11 PM,1:22:12 PM,1:32:12 PM,1:34:53 PM,1:43:06 PM,1:49:03 PM,1:57:08 PM,1:59:50 PM,2:07:50 PM,2:10:04 PM,2:18:04 PM,2:21:27 PM,2:36:15 PM,2:36:30 PM,2:40:00 PM,12:27:00 PM,12:31:00 PM,2:40:00 PM,2:09:00,2:13:00,,,,
18,11/6/2024,12:46:57 PM,12:49:12 PM,12:49:32 PM,12:54:05 PM,12:54:14 PM,1:07:09 PM,1:08:21 PM,1:13:17 PM,1:13:46 PM,1:24:08 PM,1:24:15 PM,1:39:12 PM,1:39:24 PM,1:51:34 PM,1:51:52 PM,1:59:21 PM,1:59:30 PM,2:10:58 PM,2:11:15 PM,,,,12:30:00 PM,12:32:00 PM,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,,,
19,11/7/2024,,,,,,,,,,,,,,,,,,,,,,,,,,0:00:00,0:00:00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00:00,0:00:00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00:00,0:00:00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00:00,0:00:00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00:00,0:00:00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00:00,0:00:00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00:00,0:00:00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00:00,0:00:00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00:00,0:00:00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00:00,0:00:00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00:00,0:00:00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00:00,0:00:00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00:00,0:00:00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00:00,0:00:00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00:00,0:00:00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00:00,0:00:00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00:00,0:00:00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00:00,0:00:00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00:00,0:00:00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00:00,0:00:00,,,,
